"id";"runnername";"runversion";"runtime";"rundate";"runduration";"runcomment";"runnercolor";"runlink";"runtimediff"
1;"Matheusrodf";"1.7";"01:56:48";"21/01/2020";1;"Primeira run de RSG brasileira no speedrun.com!";"lightblue";"https://www.speedrun.com/mc/runs/z018014y";"Tudo"
2;"lvl101Magikarp";"1.7";"00:49:11";"22/01/2020";67;"O cara joga no Linux simplesmente incrivel";"pink";"https://www.speedrun.com/mc/runs/mex27p3z";"01:07:37"
3;"lvl101Magikarp";"1.7";"00:44:08";"29/03/2020";52;"Um recorde brasileiro que nao foi enviado para o speedrun.com, nao sabemos o porque";"pink";"https://www.twitch.tv/videos/578449720";"00:05:03"
4;"lvl101Magikarp";"1.7";"00:40:46";"20/05/2020";62;"Poderia ter sido sub 40, mas demorou 6 minutos na end fight, e foi o ultimo PB desse runner";"pink";"https://www.speedrun.com/mc/runs/y82e2l5y";"00:03:22"
5;"DaviMD";"1.14";"00:37:44";"21/07/2020";9;"Essa foi a primeira run da 1.14 que passou o tempo da 1.7 no brasil, e foi durante a poca que a maioria dos brasileiros comecaram a jogar devido a youtubers como o Dream fazendo v�deos virais. Literal melhorou o RB na mesma quantidade de tempo que o ultimo";"pink";"https://www.speedrun.com/mc/runs/m35wgv4y";"00:03:22"
6;"Thomas";"1.14";"00:34:54";"30/07/2020";13;"Nada de muito especial nessa run, exceto o fato dela ter sido enviada em um canal que na epoca se chamava Julia da rosa, o video pegou 500 view e uns 10 coment�rio chamando de gostosa";"red";"https://www.youtube.com/watch?v=F0JDK_71yDD";"00:02:50"
7;"DaviMD";"1.14";"00:27:24";"12/08/2020";113;"Essa run na epoca era top 15, e uma run boa para os padroes de hoje ainda, e foi uma run que demorou muito para ser passada, principalmente dentro da propria versao";"pink";"https://www.speedrun.com/mc/runs/m35wgv4y";"00:07:20"
8;"PedroDbr";"1.16";"00:26:36";"03/12/2020";15;"Primeira vez que uma run da 1.16 passou o tempo dao DaviMD, existiram varias outras runs de 1.16 de brasileiros antes dessa, mas essa foi a primeira a ser realmente a mais r�pida, e como esse runner e um Youtuber famoso, atraiu muitas pessoas para a comunidade";"red";"https://www.speedrun.com/mc/runs/zplpo7nm";"00:00:48"
9;"PedroDbr";"1.16";"00:25:54";"17/12/2020";17;"Rota no bastion(Bridge) extremamente improvisada, passou 4 minutos la, os tempos eram mais simples";"red";"https://www.speedrun.com/mc/runs/yo3qpg7y";"00:00:54"
10;"PedroDbr";"1.16";"00:23:58";"03/01/2021";11;"Jogou classic e blindou a 400 blocos com obsidiana do blacksmith";"red";"https://www.speedrun.com/mc/runs/y2d4g55z";"00:02:00"
11;"PedroDbr";"1.16";"00:20:34";"14/01/2021";22;"Nada de muito interessante, mas e bom mencionar que todos os bastions foram bridges ";"red";"https://www.speedrun.com/mc/runs/yw0er50m";"00:03:20"
12;"PedroDbr";"1.16";"00:19:35";"05/02/2021";2;"Primeiro sub 20! uma run de fortress first sem muita coisa especial,  O pedro nunca mandou essa run ou qualquer run futura no speedrun.com, n�o sabemos o porqu�. Fun fact: o servidor da nossa comunidade foi criado logo ap�s esse recorde ";"red";"https://www.youtube.com/watch?v=Ab6O_48lFdg";"00:00:59"
13;"SpectroPlayer";"1.16";"00:18:57";"07/02/2021";19;"-3499511851711840721 ";"purple";"https://www.speedrun.com/mc/runs/z06l69ez";"00:00:38"
14;"SpectroPlayer";"1.16";"00:18:07";"26/02/2021";13;" ";"purple";"https://www.youtube.com/watch?v=nMPB-xRl4NI&t=1015s";"00:00:50"
15;"SpectroPlayer";"1.16";"00:17:56";"11/03/2021";0;"2 Rbs no mesmo dia com horas de diferenca, esse nao foi postado por conta disso";"purple";"";"00:00:11"
16;"SpectroPlayer";"1.16";"00:16:02";"11/03/2021";77;"";"purple";"https://www.youtube.com/watch?v=nK_WQEPaG8o&t=174s";"00:01:54"
17;"Only";"1.16";"00:15:47";"27/05/2021";12;"";"pink";"https://www.speedrun.com/mc/runs/mr17v62z";"00:00:15"
18;"batatowisk";"1.16";"00:13:47";"08/06/2021";14;"";"blue";"https://www.youtube.com/watch?v=jolX0yPMcYQ&t=945s";"00:01:50"
19;"Rickezinho";"1.16";"00:12:09";"22/06/2021";122;"";"yellow";"https://www.speedrun.com/mc/runs/zq1q5x9m";"00:01:48"
20;"epnok";"1.16";"00:11:21";"22/10/2021";190;"";"blue";"https://www.speedrun.com/mc/runs/ydevdnqm";"00:00:48"
21;"shy";"1.16";"00:09:38";"30/04/2022";590;"";"purple";"https://www.speedrun.com/mc/runs/znpk5w3m";"00:01:43"
22;"booster";"1.16";"00:09:22";"11/12/2023";81;"";"red";"https://www.speedrun.com/mc/runs/zg8eoqny";"00:00:16"
23;"booster";"1.16";"00:09:13";"25/02/2024";X;"";"red";"https://www.speedrun.com/mc/runs/zq837n5z";"00:00:09"
 
