RSG 1.16+ Any% Glitchless,,,,,RSG 1.13 - 1.15 Any% Glitchless,,,,RSG Pre 1.9 Any% Glitchless,,,,SSG 1.16+,,,RS 1.16->,RSG 1.16+ Any% Glitchless,,,,RS 1.16SSG->,SSG 1.16+,,
#º,RUNNER,TEMPO,Video,,#º,RUNNER,TEMPO,,#º,RUNNER,TEMPO,,#º,RUNNER,TEMPO,,#º,RUNNER,TEMPO,Video,,#º,RUNNER,TEMPO
#1,shyaya,09:38,Video,,#1,whatevermarco,16:21,,#1,whatevermarco,18:59,,#1,shyaya,1:51.923,,#1,Cisne,10:49.121,Video,,#1,ThiG,2:00.831
#2,sanjinhu,09:55,Video,,#2,sylv73,17:55,,#2,sylv73,20:47,,#2,Treisdente,1:53.703,,#2,W,11:51,Video,,#2,asky,2:24.333
#3,whatevermarco,10:31,Video,,#3,Psemcovici,18:10,,#3,Psemcovici,24:59,,#3,xheb,1:56.460,,#3,Ela_s2,12:17,,,#3,Rafamel,2:27.683
#4,Cisne,10:49.121,Video,,#4,Dertska,18:19,,#4,alyx,26:41,,#4,pato,1:57.359,,#4,Tomm,17:27,,,#4,Ela_s2,2:32.000
#5,misfit,10:49.531,Video,,#5,Ela_s2,20:20,,#5,batatowisk,28:25,,#5,sanjinhu,1:57.620,,#5,1bruxxz,24:01,,,#5,HellstormBishop,2:44.650
#6,sylv73,11:17,Video,,#6,batatowisk,21:25,,#7,shyaya,28:32,,#6,ThiG,2:00.831,,#6,Visneeee,24:17,,,#6,Tomm,2:45.000
#7,epnok,11:21,Video,,#7,asky ,21:47,,#8,Lv101Magikarp,40:46,,#7,Bepeze,2:07.900,,#7,HellstormBishop,27:14,,,,,
#8,Psemtube,11:48,Video,,#8,shyaya,21:56,,#9,xheb_,42:18,,#8,bitsbyalyx,2:09.424,,,,,,,,,
#9,brahmaquente,11:49,Video,,#9,Al3xanDE_17,26:42,,#10,Dertska,48:01,,#9,epnok,2:09.500,,,,,,,,,
#10,W,11:51,Video,,#10,Gabya,27:14,,,,,,#10,Jailsongmc_01,2:11.586,,,,,,,,,
